Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Star Wars: Episode VII - The Force Awakens,$2068223624,$936662225,45.3%,$1131561399,54.7%
2,Jurassic World,$1670400637,$652270625,39%,$1018130012,61%
3,Furious 7,$1515047671,$353007020,23.3%,$1162040651,76.7%
4,Avengers: Age of Ultron,$1402805868,$459005868,32.7%,$943800000,67.3%
5,Minions,$1159398397,$336045770,29%,$823352627,71%
6,Spectre,$880674609,$200074609,22.7%,$680600000,77.3%
7,Inside Out,$857611174,$356461711,41.6%,$501149463,58.4%
8,Mission: Impossible - Rogue Nation,$682714267,$195042377,28.6%,$487671890,71.4%
9,The Hunger Games: Mockingjay - Part 2,$658344137,$281723902,42.8%,$376620235,57.2%
10,The Martian,$630161890,$228433663,36.2%,$401728227,63.8%
11,Fifty Shades of Grey,$569651467,$166167230,29.2%,$403484237,70.8%
12,Cinderella,$542351353,$201151353,37.1%,$341200000,62.9%
13,The Revenant,$532950503,$183637894,34.5%,$349312609,65.5%
14,Ant-Man,$519311965,$180202163,34.7%,$339109802,65.3%
15,Hotel Transylvania 2,$474800000,$169700110,35.7%,$305099890,64.3%
16,San Andreas,$473990832,$155190832,32.7%,$318800000,67.3%
17,Terminator Genisys,$440603537,$89760956,20.4%,$350842581,79.6%
18,Kingsman: The Secret Service,$414351546,$128261724,31%,$286089822,69%
19,Monster Hunt,$387053506,$32766,<0.1%,$387020740,100%
20,Home,$386041607,$177397510,46%,$208644097,54%
21,Mad Max: Fury Road,$374736354,$153636354,41%,$221100000,59%
22,The Good Dinosaur,$332207671,$123087120,37.1%,$209120551,62.9%
23,Taken 3,$326479141,$89256424,27.3%,$237222717,72.7%
24,The SpongeBob Movie: Sponge Out of Water,$325186032,$162994032,50.1%,$162192000,49.9%
25,Maze Runner: The Scorch Trials,$312296056,$81697192,26.2%,$230598864,73.8%
26,The Divergent Series: Insurgent,$297002527,$130179072,43.8%,$166823455,56.2%
27,Pitch Perfect 2,$287144079,$184296230,64.2%,$102847849,35.8%
28,Mojin: The Lost Legend,$259368448,$1243810,0.5%,$258124638,99.5%
29,Lost in Hong Kong,$256283912,$1302281,0.5%,$254981631,99.5%
30,The Peanuts Movie,$246233113,$130178411,52.9%,$116054702,47.1%
31,Pixels,$244874809,$78747585,32.2%,$166127224,67.8%
32,Daddy's Home,$242786137,$150357137,61.9%,$92429000,38.1%
33,Spy,$235666219,$110825712,47%,$124840507,53%
34,Alvin and the Chipmunks: The Road Chip,$234798636,$85886987,36.6%,$148911649,63.4%
35,Goodbye Mr. Loser,$228122928,$1293626,0.6%,$226829302,99.4%
36,Ted 2,$215863606,$81476385,37.7%,$134387221,62.3%
37,Tomorrowland,$209035668,$93436322,44.7%,$115599346,55.3%
38,Everest,$203427584,$43482270,21.4%,$159945314,78.6%
39,Straight Outta Compton,$201634991,$161197785,79.9%,$40437206,20.1%
40,The Intern,$194564672,$75764672,38.9%,$118800000,61.1%
41,Jian Bing Man,$186683536,-,-,$186683536,100%
42,Jupiter Ascending,$183887723,$47387723,25.8%,$136500000,74.2%
43,Creed,$173567581,$109767581,63.2%,$63800000,36.8%
44,Fantastic Four,$167882881,$56117548,33.4%,$111765333,66.6%
45,Bridge of Spies,$165478348,$72313754,43.7%,$93164594,56.3%
46,From Vegas to Macau II,$163877532,-,-,$163877532,100%
47,Focus,$158762963,$53862963,33.9%,$104900000,66.1%
48,Goosebumps,$158260952,$80080379,50.6%,$78180573,49.4%
49,Ip Man 3,$156954938,$2679437,1.7%,$154275501,98.3%
50,The Hateful Eight,$155760117,$54117416,34.7%,$101642701,65.3%
51,Monkey King: Hero Is Back,$153262397,-,-,$153262397,100%
52,Gods of Egypt,$150680864,$31153464,20.7%,$119527400,79.3%
53,The Last Witch Hunter,$146936910,$27367660,18.6%,$119569250,81.4%
54,Trainwreck,$140795793,$110212700,78.3%,$30583093,21.7%
55,Mr. Six,$139191345,$1415450,1%,$137775895,99%
56,Point Break,$133718711,$28782481,21.5%,$104936230,78.5%
57,The Big Short,$133440870,$70259870,52.7%,$63181000,47.3%
58,Pan,$128388320,$35088320,27.3%,$93300000,72.7%
59,Detective Chinatown,$125842935,$474252,0.4%,$125368683,99.6%
60,Wolf Totem,$125837070,$210591,0.2%,$125626479,99.8%
61,Ride Along 2,$124605297,$91221830,73.2%,$33383467,26.8%
62,Dragon Blade,$122593849,$74068,<0.1%,$122519781,99.9%
63,Magic Mike XXL,$117813057,$66013057,56%,$51800000,44%
64,Insidious: Chapter 3,$112983889,$52218558,46.2%,$60765331,53.8%
65,Get Hard,$111711453,$90411453,80.9%,$21300000,19.1%
66,The 5th Wave,$109906372,$34916787,31.8%,$74989585,68.2%
67,Paul Blart: Mall Cop 2,$107588225,$71038190,66%,$36550035,34%
68,Vacation,$107228221,$58884188,54.9%,$48344033,45.1%
69,The Man from U.N.C.L.E.,$107045109,$45445109,42.5%,$61600000,57.5%
70,Chronicles of the Ghostly Tribe,$106380000,-,-,$106380000,100%
71,Shaun the Sheep Movie,$106209378,$19375982,18.2%,$86833396,81.8%
72,Sisters,$105011053,$87044645,82.9%,$17966408,17.1%
73,Chappie,$102811889,$31569268,30.7%,$71242621,69.3%
74,Joy,$101134059,$56451232,55.8%,$44682827,44.2%
75,Black Mass,$99775678,$62575678,62.7%,$37200000,37.3%
76,Spotlight,$98690254,$45055776,45.7%,$53634478,54.3%
77,Devil and Angel,$98599942,$131058,0.1%,$98468884,99.9%
78,The Visit,$98450062,$65206105,66.2%,$33243957,33.8%
79,The Little Prince,$97571250,$1339152,1.4%,$96232098,98.6%
80,Assassination,$96119773,$1904682,2%,$94215091,98%
81,Poltergeist,$95437994,$47425125,49.7%,$48012869,50.3%
82,Veteran,$94393020,$1200627,1.3%,$93192393,98.7%
83,In the Heart of the Sea,$93920758,$25020758,26.6%,$68900000,73.4%
84,Kill Zone 2,$93638358,$11998,<0.1%,$93626360,100%
85,Southpaw,$91970827,$52421953,57%,$39548874,43%
86,The Second Best Exotic Marigold Hotel,$85978266,$33078266,38.5%,$52900000,61.5%
87,Paper Towns,$85512300,$32000304,37.4%,$53511996,62.6%
88,Sicario,$84872444,$46889293,55.2%,$37983151,44.8%
89,Our Times,$83867493,-,-,$83867493,100%
90,Suck Me Shakespeer 2,$83027924,-,-,$83027924,100%
91,Hitman: Agent 47,$82347656,$22467450,27.3%,$59880206,72.7%
